Frame Index,Swimmer ID,Activity,BBox,Confidence,Start Time (s),End Time (s)
5,2,Underwater,"[961.9315795898438, 687.3330688476562, 1215.565185546875, 738.399169921875]",0.9999803304672241,0.16666666666666666,0.2
5,6,Underwater,"[1286.783447265625, 202.58029174804688, 1415.60693359375, 241.51455688476562]",0.9998704195022583,0.16666666666666666,0.2
5,4,Underwater,"[1177.30224609375, 359.0690002441406, 1323.201171875, 397.2340393066406]",0.9816075563430786,0.16666666666666666,0.2
5,7,Underwater,"[1144.2886962890625, 436.98834228515625, 1342.18359375, 477.9427185058594]",0.9998940229415894,0.16666666666666666,0.2
6,1,Underwater,"[937.9803466796875, 835.5924682617188, 1216.1904296875, 907.2299194335938]",1.0,0.2,0.23333333333333334
6,3,Underwater,"[1256.7052001953125, 269.1532287597656, 1395.20654296875, 312.9474792480469]",0.9981010556221008,0.2,0.23333333333333334
6,6,Underwater,"[1279.271484375, 198.4457244873047, 1418.092529296875, 238.2432403564453]",0.9997581839561462,0.2,0.23333333333333334
6,2,Underwater,"[961.60986328125, 687.3787841796875, 1232.5609130859375, 734.9273071289062]",0.9999988079071045,0.2,0.23333333333333334
6,4,Underwater,"[1169.1031494140625, 357.611572265625, 1312.0792236328125, 396.90472412109375]",0.9981755018234253,0.2,0.23333333333333334
6,7,Underwater,"[1160.20263671875, 439.393310546875, 1344.474853515625, 475.9725341796875]",0.999806821346283,0.2,0.23333333333333334
